participant_ID,token_set,condition,rating
A3,1,LCASEM,3
A3,2,UCASEM,3
A3,3,UCASEU,-1
A3,5,LCASEM,2
A3,6,UCASEM,3
A3,7,UCASEU,1
A3,9,LCASEM,3
A3,10,UCASEM,3
A3,11,UCASEU,3
A9,1,LCASEM,-2
A9,2,UCASEM,2
A9,3,UCASEU,-3
A9,5,LCASEM,1
A9,6,UCASEM,2
A9,7,UCASEU,1
A9,9,LCASEM,2
A9,10,UCASEM,2
A9,11,UCASEU,-3
A10,1,LCASEM,-2
A10,2,UCASEM,3
A10,3,UCASEU,-3
A10,5,LCASEM,1
A10,6,UCASEM,1
A10,7,UCASEU,-2
A10,9,LCASEM,-2
A10,10,UCASEM,2
A10,11,UCASEU,-2
A11,1,LCASEM,2
A11,2,UCASEM,3
A11,3,UCASEU,1
A11,5,LCASEM,1
A11,6,UCASEM,-1
A11,7,UCASEU,-2
A11,9,LCASEM,2
A11,10,UCASEM,1
A11,11,UCASEU,-1
A12,1,LCASEM,3
A12,2,UCASEM,3
A12,3,UCASEU,-2
A12,5,LCASEM,3
A12,6,UCASEM,1
A12,7,UCASEU,1
A12,9,LCASEM,3
A12,10,UCASEM,3
A12,11,UCASEU,-1
A14,1,LCASEM,3
A14,2,UCASEM,3
A14,3,UCASEU,3
A14,5,LCASEM,3
A14,6,UCASEM,3
A14,7,UCASEU,-2
A14,9,LCASEM,3
A14,10,UCASEM,3
A14,11,UCASEU,-3
A16,1,LCASEM,2
A16,2,UCASEM,2
A16,3,UCASEU,-1
A16,5,LCASEM,1
A16,6,UCASEM,1
A16,7,UCASEU,1
A16,9,LCASEM,2
A16,10,UCASEM,2
A16,11,UCASEU,0
A17,1,LCASEM,3
A17,2,UCASEM,3
A17,3,UCASEU,1
A17,5,LCASEM,-3
A17,6,UCASEM,1
A17,7,UCASEU,1
A17,9,LCASEM,3
A17,10,UCASEM,1
A17,11,UCASEU,1
A18,1,LCASEM,2
A18,2,UCASEM,2
A18,3,UCASEU,-3
A18,5,LCASEM,1
A18,6,UCASEM,2
A18,7,UCASEU,1
A18,9,LCASEM,1
A18,10,UCASEM,1
A18,11,UCASEU,1
A19,1,LCASEM,1
