participant_ID,token_set,function_match,category_match,rating
A3,1,1,1,3
A3,2,1,0,3
A3,3,0,1,2
A3,4,0,0,-3
A3,5,1,1,2
A3,6,1,0,3
A3,7,0,1,2
A3,8,0,0,-2
A3,9,1,1,3
A3,10,1,0,3
A3,11,0,1,3
A3,12,0,0,3
A9,1,1,1,2
A9,2,1,0,1
A9,3,0,1,-3
A9,4,0,0,-3
A9,5,1,1,2
A9,6,1,0,2
A9,7,0,1,-3
A9,8,0,0,-3
A9,9,1,1,3
A9,10,1,0,3
A9,11,0,1,-3
A9,12,0,0,-3
A10,1,1,1,-2
A10,2,1,0,3
A10,3,0,1,-1
A10,4,0,0,-3
A10,5,1,1,2
A10,6,1,0,2
A10,7,0,1,-3
A10,8,0,0,-3
A10,9,1,1,2
A10,10,1,0,3
A10,11,0,1,-3
A10,12,0,0,-2
A11,1,1,1,2
A11,2,1,0,-1
A11,3,0,1,-1
A11,4,0,0,-3
A11,5,1,1,2
A11,6,1,0,1
A11,7,0,1,-3
A11,8,0,0,-3
A11,9,1,1,3
A11,10,1,0,1
A11,11,0,1,-2
A11,12,0,0,-1
A12,1,1,1,3
A12,2,1,0,2
A12,3,0,1,-1
A12,4,0,0,-2
A12,5,1,1,3
A12,6,1,0,2
A12,7,0,1,-1
A12,8,0,0,-1
A12,9,1,1,3
A12,10,1,0,3
A12,11,0,1,-2
A12,12,0,0,-1
A14,1,1,1,3
A14,2,1,0,3
A14,3,0,1,-3
A14,4,0,0,-3
A14,5,1,1,2
A14,6,1,0,3
A14,7,0,1,-3
A14,8,0,0,-3
A14,9,1,1,3
A14,10,1,0,3
A14,11,0,1,1
A14,12,0,0,-3
A16,1,1,1,3
A16,2,1,0,3
A16,3,0,1,-2
A16,4,0,0,1
A16,5,1,1,2
A16,6,1,0,2
A16,7,0,1,-1
A16,8,0,0,-1
A16,9,1,1,3
A16,10,1,0,2
A16,11,0,1,-1
A16,12,0,0,-2
A17,1,1,1,3
A17,2,1,0,2
A17,3,0,1,1
A17,4,0,0,0
A17,5,1,1,3
A17,6,1,0,1
A17,7,0,1,1
A17,8,0,0,1
A17,9,1,1,3
A17,10,1,0,2
A17,11,0,1,-3
A17,12,0,0,1
A18,1,1,1,2
A18,2,1,0,2
A18,3,0,1,2
A18,4,0,0,-2
A18,5,1,1,2
A18,6,1,0,3
A18,7,0,1,-2
A18,8,0,0,2
A18,9,1,1,3
A18,10,1,0,3
A18,11,0,1,1
A18,12,0,0,1
A19,1,1,1,3
A19,2,1,0,3
A19,3,0,1,-3
A19,4,0,0,-2
A19,5,1,1,3
A19,6,1,0,3
A19,7,0,1,-2
A19,8,0,0,-3
A19,9,1,1,3
A19,10,1,0,3
