"id","GENDER","GENDER[other]","AGE","NATIVETR","BILINGUALQ","REGION[THRACE]","REGION[MEDITER]","REGION[MARMARA]","REGION[AEGEAN]","REGION[BLACKSEA]","REGION[CENTRALANATOLIA]","REGION[EASTANATOLIA]","REGION[SOUTHEASTANATOLIA]","L2","EDUCATION","EDUCATION[other]","EDUCATIONMAJOR[FINEARTS]","EDUCATIONMAJOR[SOCIALSCIENCES]","EDUCATIONMAJOR[PHYSICALSCIENCES]","EDUCATIONMAJOR[HUMANITIES]","INSTR1","INSTR2","PRACTICEDISPLAY","PRACTICE1[PRACTICE1]","PRACTICE2[PRACTICE1]","PRACTICE3[PRACTICE1]","UCATM1[PRACTICE1]","CTGRAM1[PRACTICE1]","LCATU2[PRACTICE1]","CTUNGRAM1[PRACTICE1]","UCATU3[PRACTICE1]","CTGRAM2[PRACTICE1]","LCATM4[PRACTICE1]","CTUNGRAM2[PRACTICE1]","UCATM5[PRACTICE1]","CTGRAM3[PRACTICE1]","LCATU6[PRACTICE1]","CTUNGRAM3[PRACTICE1]","UCATU7[PRACTICE1]","CTGRAM4[PRACTICE1]","LCATM8[PRACTICE1]","CTUNGRAM4[PRACTICE1]","UCATM9[PRACTICE1]","CTGRAM5[PRACTICE1]","LCATU10[PRACTICE1]","CTUNGRAM5[PRACTICE1]","UCATU11[PRACTICE1]","CTGRAM6[PRACTICE1]","LCATM12[PRACTICE1]","CTUNGRAM6[PRACTICE1]","LCASEM2[PRACTICE1]","CTGRAM7[PRACTICE1]","UCASEM3[PRACTICE1]","CTUNGRAM7[PRACTICE1]","UCASEU4[PRACTICE1]","CTGRAM8[PRACTICE1]","LCASEM6[PRACTICE1]","CTUNGRAM8[PRACTICE1]","UCASEM7[PRACTICE1]","CTGRAM9[PRACTICE1]","UCASEU8[PRACTICE1]","CTUNGRAM9[PRACTICE1]","LCASEM10[PRACTICE1]","CTGRAM10[PRACTICE1]","UCASEM11[PRACTICE1]","CTUNGRAM10[PRACTICE1]","UCASEU12[PRACTICE1]","CTGRAM11[PRACTICE1]","CTUNGRAM11[PRACTICE1]","interviewtime"
"1","FEMAL","","1989","YESTR","MONOL","","Y","","","","","","","Az İngilizce biliyorum ","BA","","","Y","","","","","","1","-2","2","-1","1","-2","-1","-1","1","-1","-2","-1","2","1","0","-1","-1","2","-2","1","2","-2","-2","-2","-2","-2","-2","0","2","-1","-2","1","2","2","-2","-1","2","-2","-1","2","-1","1","-2","1","2","-2","781.47"
"3","MALE","","1997","YESTR","MONOL","","","Y","","","","","","ingilizce 3
Almanca 1","BA","","","Y","","","","","","3","-3","3","2","3","3","1","2","3","3","1","3","3","2","-1","2","3","3","1","3","3","3","3","2","3","3","2","3","3","3","1","3","3","3","3","3","3","2","-3","3","3","3","1","2","3","2","770.45"
"4","FEMAL","","1998","YESTR","MONOL","","","Y","","","","","","İngilizce - 2","BA","","","Y","","","","","","3","-2","3","1","-2","2","-2","1","3","3","-2","3","3","1","-3","1","3","3","-3","2","3","2","-2","-1","2","3","-1","3","3","3","1","-2","3","3","3","3","3","-2","-3","3","-1","3","-1","-2","3","1","741.95"
"5","FEMAL","","1999","YESTR","MONOL","","","","","","Y","Y","","","BA","","","Y","","","","","","0","-3","-2","-1","3","-2","-3","-1","-1","3","-2","-1","3","-2","-3","-1","2","3","-2","3","3","-1","-3","-1","-1","3","-2","0","3","-1","-3","-1","-1","3","-2","1","-3","-2","-3","3","1","3","-3","-2","2","-3","1038.69"
"6","FEMAL","","2003","YESTR","MONOL","","","Y","","","","","","İngilizce 3
Almanca 1
Arapça 1","BA","","","Y","","","","","","2","-2","3","1","3","3","-1","-1","3","3","-3","3","3","1","-2","-1","3","3","-1","3","3","3","-2","-1","1","3","-3","3","3","3","-3","3","3","3","3","-1","3","1","-2","3","-2","3","-3","1","3","-1","570.44"
"8","FEMAL","","1996","YESTR","BIL3","","Y","","","","","","Y","Orta derece ingilizce iyi düzeyde arapça
İngilizce-2
Arapça-4","BA","","","Y","","","","","","3","-3","2","3","0","0","-2","0","3","-2","-2","0","3","-1","-1","-2","1","3","-1","3","-2","-1","-1","-3","0","-3","-2","3","1","-1","3","-2","3","-2","-1","-1","0","-2","0","3","-1","0","-2","-1","3","-2","559.4"
"9","FEMAL","","2001","YESTR","MONOL","","","Y","","","","","","Az derecede İngilizce biliyorum.
İngilizce -1","BA","","","Y","","","","","","3","-3","3","2","3","0","-1","2","3","3","1","3","3","0","-1","1","3","3","1","3","3","-1","-2","2","3","3","2","3","3","3","-2","1","3","3","1","3","3","1","-1","3","2","3","1","2","3","2","727.62"
"11","-oth-","","1998","YESTR","MONOL","","Y","","","","","","","İngilizce, almanca-2 ","BA","","","Y","","","","","","3","-3","3","0","3","-1","-1","0","3","3","-2","-1","3","-1","-2","3","3","3","-1","3","2","3","-1","-1","-1","1","-2","2","3","0","-3","-1","1","3","2","3","3","-1","-3","3","1","1","-3","-1","3","-1","592.89"
"13","FEMAL","","2002","YESTR","MONOL","","","Y","","","","","","","BA","","","Y","","","","","","2","-3","3","-2","3","-3","-3","-3","3","3","-3","1","3","-3","-3","-3","3","3","-3","1","2","-3","-3","-2","2","2","-3","3","2","-1","-3","-3","3","2","-3","0","3","-3","-3","-2","0","2","-3","-3","0","-3","467.15"
"14","FEMAL","","1999","YESTR","MONOL","","","Y","","","","","","Az derecede İngilizce biliyorum.
İngilizce-1","BA","","","Y","","","","","","3","-3","3","3","3","3","1","2","3","3","1","3","3","1","1","-3","3","3","-3","3","3","3","-3","2","3","3","-3","3","3","3","1","3","3","3","3","3","3","1","-3","3","-3","3","-3","2","3","-1","741.56"
"15","MALE","","1988","YESTR","MONOL","","","","","Y","","","","","BA","","","Y","Y","","","","","3","-3","2","-1","2","1","-2","1","3","2","-1","0","3","1","-3","0","3","3","-1","2","3","1","-2","-1","3","3","-2","3","3","2","1","2","3","2","-2","3","1","2","-3","3","-1","3","-3","1","3","-2","1317.94"
"17","FEMAL","","1971","YESTR","MONOL","","","Y","","","","","","İngilizce -3
Fransızca - 1","PhD","","","","Y","","","","","1","-3","3","1","3","-2","-1","0","3","3","-3","2","2","0","-3","1","0","3","-3","2","2","0","-3","0","-2","1","-2","2","3","0","-1","0","3","3","1","2","2","2","-3","3","-3","2","-3","-1","3","0","1002.89"
