"id","GENDER","GENDER[other]","AGE","NATIVETR","BILINGUALQ","REGION[THRACE]","REGION[MEDITER]","REGION[MARMARA]","REGION[AEGEAN]","REGION[BLACKSEA]","REGION[CENTRALANATOLIA]","REGION[EASTANATOLIA]","REGION[SOUTHEASTANATOLIA]","L2","EDUCATION","EDUCATION[other]","EDUCATIONMAJOR[FINEARTS]","EDUCATIONMAJOR[SOCIALSCIENCES]","EDUCATIONMAJOR[PHYSICALSCIENCES]","EDUCATIONMAJOR[HUMANITIES]","INSTR1","INSTR2","PRACTICEDISPLAY","PRACTICE1[PRACTICE1]","PRACTICE2[PRACTICE1]","PRACTICE3[PRACTICE1]","LCATU1[PRACTICE1]","CTGRAM1[PRACTICE1]","UCATU2[PRACTICE1]","CTUNGRAM1[PRACTICE1]","LCATM3[PRACTICE1]","CTGRAM2[PRACTICE1]","UCATM4[PRACTICE1]","CTUNGRAM2[PRACTICE1]","LCATU5[PRACTICE1]","CTGRAM3[PRACTICE1]","UCATU6[PRACTICE1]","CTUNGRAM3[PRACTICE1]","LCATM7[PRACTICE1]","CTGRAM4[PRACTICE1]","UCATM8[PRACTICE1]","CTUNGRAM4[PRACTICE1]","LCATU9[PRACTICE1]","CTGRAM5[PRACTICE1]","UCATU10[PRACTICE1]","CTUNGRAM5[PRACTICE1]","LCATM11[PRACTICE1]","CTGRAM6[PRACTICE1]","UCATM12[PRACTICE1]","CTUNGRAM6[PRACTICE1]","UCASEU1[PRACTICE1]","CTGRAM7[PRACTICE1]","LCASEM3[PRACTICE1]","CTUNGRAM7[PRACTICE1]","UCASEM4[PRACTICE1]","CTGRAM8[PRACTICE1]","UCASEU5[PRACTICE1]","CTUNGRAM8[PRACTICE1]","LCASEM7[PRACTICE1]","CTGRAM9[PRACTICE1]","UCASEM8[PRACTICE1]","CTUNGRAM9[PRACTICE1]","UCASEU9[PRACTICE1]","CTGRAM10[PRACTICE1]","LCASEM11[PRACTICE1]","CTUNGRAM10[PRACTICE1]","UCASEM12[PRACTICE1]","CTGRAM11[PRACTICE1]","CTUNGRAM11[PRACTICE1]","interviewtime"
"3","FEMAL","","2001","YESTR","MONOL","","Y","","","","","","","Ingilizce - 3 ","BA","","","Y","","","","","","-3","-3","3","-3","3","-3","-3","2","3","2","-3","-3","3","-3","-3","3","3","3","-3","-3","3","-2","-3","3","3","2","-3","-3","3","3","-2","1","2","-3","-2","3","2","3","-3","2","2","3","-3","3","3","-3","1075.52"
"5","FEMAL","","2003","YESTR","MONOL","","","Y","","","Y","Y","","ingilizce 2","BA","","","Y","","","","","","3","-3","2","-3","3","1","-3","3","3","2","-2","-2","3","3","-3","3","1","-1","-2","-2","3","3","-3","1","1","-3","-2","-3","3","3","0","2","3","-3","-3","3","3","0","-2","1","-3","3","-3","-3","3","-3","518.17"
"6","FEMAL","","1994","YESTR","MONOL","","","Y","","","","","","İngilizce 2","BA","","","Y","","","","","","3","0","3","2","3","3","1","3","3","3","3","1","3","3","1","1","3","3","2","2","3","3","1","3","3","3","1","2","3","3","2","3","3","3","3","3","3","2","1","3","0","3","0","1","3","0","563.92"
"7","FEMAL","","1989","YESTR","MONOL","","","Y","","","","","","","BA","","","Y","","","","","","3","-3","-1","-3","3","-3","-3","3","3","3","-3","-3","3","-3","-3","3","3","-1","-3","3","3","-3","-3","3","-3","-3","-3","-3","3","3","-3","-3","-1","-3","-3","-3","-3","-3","-3","3","-3","3","-3","-3","3","-3","437.13"
"8","FEMAL","","1983","YESTR","MONOL","","","Y","Y","","Y","","","","MA","","","Y","","","","","","-3","-3","-3","-3","-3","-3","-3","-3","-3","0","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","567.42"
"10","FEMAL","","2000","YESTR","MONOL","","","","Y","","","","","","BA","","","Y","","Y","","","","3","-1","3","2","3","3","3","3","3","3","1","1","3","3","3","3","3","3","2","0","3","3","-1","3","1","3","-1","3","3","3","1","3","3","3","3","3","3","3","3","1","3","3","3","3","3","-1","452.92"
"12","FEMAL","","2000","YESTR","BIL1","","","Y","","","","","","İngilizce -2    Bulgarca-2","BA","","","Y","","","","","","3","-3","-3","-3","-3","0","-3","3","3","1","-3","0","-3","3","3","3","3","3","0","-3","3","1","-3","0","-3","-3","0","3","-3","0","3","1","-2","-3","-2","0","-3","0","-3","0","0","0","3","0","3","1","402.6"
"15","FEMAL","","1996","YESTR","MONOL","","","","Y","","","","","İngilizce 2","MA","","","Y","","","","","","0","-1","3","3","3","3","3","3","3","3","0","3","3","3","2","3","3","3","0","3","3","3","2","3","3","1","-1","2","3","3","-1","3","3","0","3","3","3","3","0","3","-1","3","-1","3","3","1","682.36"
"17","FEMAL","","1995","YESTR","MONOL","","","Y","","","","","","","BA","","","Y","","","","","","0","-3","1","1","3","3","-2","0","2","2","-2","2","3","2","-2","1","3","3","-2","3","3","3","-2","3","-1","-2","-1","-1","2","2","-1","3","2","2","3","-1","2","-2","-2","3","2","3","0","3","3","-2","346.95"
"18","FEMAL","","2000","YESTR","MONOL","","","","","Y","","","","İngilizce 2","BA","","","Y","","","","","","0","0","3","3","-2","-1","-2","3","3","3","-1","0","3","3","-3","3","3","2","-3","-1","3","-2","-2","3","1","0","-2","-2","3","3","-2","-1","3","-2","-1","3","3","3","-1","3","0","3","-2","-2","3","-3","594.95"
