"id","GENDER","GENDER[other]","AGE","NATIVETR","BILINGUALQ","REGION[THRACE]","REGION[MEDITER]","REGION[MARMARA]","REGION[AEGEAN]","REGION[BLACKSEA]","REGION[CENTRALANATOLIA]","REGION[EASTANATOLIA]","REGION[SOUTHEASTANATOLIA]","L2","EDUCATION","EDUCATION[other]","EDUCATIONMAJOR[FINEARTS]","EDUCATIONMAJOR[SOCIALSCIENCES]","EDUCATIONMAJOR[PHYSICALSCIENCES]","EDUCATIONMAJOR[HUMANITIES]","INSTR1","INSTR2","PRACTICEDISPLAY","PRACTICE1[PRACTICE1]","PRACTICE2[PRACTICE1]","PRACTICE3[PRACTICE1]","UCATU1[PRACTICE1]","CTGRAM1[PRACTICE1]","LCATM2[PRACTICE1]","CTUNGRAM1[PRACTICE1]","UCATM3[PRACTICE1]","CTGRAM2[PRACTICE1]","LCATU4[PRACTICE1]","CTUNGRAM2[PRACTICE1]","UCATU5[PRACTICE1]","CTGRAM3[PRACTICE1]","LCATM6[PRACTICE1]","CTUNGRAM3[PRACTICE1]","UCATM7[PRACTICE1]","CTGRAM4[PRACTICE1]","LCATU8[PRACTICE1]","CTUNGRAM4[PRACTICE1]","UCATU9[PRACTICE1]","CTGRAM5[PRACTICE1]","LCATM10[PRACTICE1]","CTUNGRAM5[PRACTICE1]","UCATM11[PRACTICE1]","CTGRAM6[PRACTICE1]","LCATU12[PRACTICE1]","CTUNGRAM6[PRACTICE1]","UCASEM1[PRACTICE1]","CTGRAM7[PRACTICE1]","UCASEU2[PRACTICE1]","CTUNGRAM7[PRACTICE1]","LCASEM4[PRACTICE1]","CTGRAM8[PRACTICE1]","UCASEM5[PRACTICE1]","CTUNGRAM8[PRACTICE1]","UCASEU6[PRACTICE1]","CTGRAM9[PRACTICE1]","LCASEM8[PRACTICE1]","CTUNGRAM9[PRACTICE1]","UCASEM9[PRACTICE1]","CTGRAM10[PRACTICE1]","UCASEU10[PRACTICE1]","CTUNGRAM10[PRACTICE1]","LCASEM12[PRACTICE1]","CTGRAM11[PRACTICE1]","CTUNGRAM11[PRACTICE1]","interviewtime"
"1","FEMAL","","2000","YESTR","MONOL","","","Y","","","","","","İngilizce- 2","BA","","","Y","","","","","","3","-3","2","-1","3","3","-2","3","3","-1","-2","-1","3","3","-3","2","3","-2","-2","-1","3","3","-3","3","1","-2","-1","2","3","3","-1","3","3","3","1","3","2","3","-2","3","2","-1","-1","3","2","1","1009.04"
"2","FEMAL","","1996","YESTR","BIL1","","","Y","","","","","","Zazaca 2
İngilizce 1","MA","","","Y","","","","","","3","-3","3","-1","3","3","-3","3","3","1","-3","1","3","3","-2","2","3","-1","-3","-1","3","3","-3","3","2","1","-3","3","3","-2","-3","3","2","3","1","3","2","3","-3","3","-3","1","-3","3","3","2","791.09"
"3","FEMAL","","1999","YESTR","MONOL","","","Y","","","","","","","MA","","","Y","","","","","","3","-3","3","2","3","1","-3","3","3","-3","-3","1","3","2","-3","3","3","1","-3","3","3","3","3","3","-3","2","-3","3","3","-2","-3","3","3","2","-3","3","3","3","-3","3","1","1","-3","3","3","-3","686.35"
"5","FEMAL","","2003","YESTR","MONOL","","","Y","","","","","","İngilizce 2","BA","","","Y","","","","","","1","0","2","2","-3","3","0","-1","2","0","2","2","0","-1","0","-1","3","-2","2","0","1","2","0","0","2","1","-1","2","3","3","2","1","3","2","3","0","2","-1","0","0","2","-1","3","2","3","3","455.27"
"7","MALE","","2001","YESTR","MONOL","","","","Y","","","","","ingilizce-2","BA","","","Y","","","","","","3","-3","3","-2","2","2","-3","1","2","1","-1","-1","3","1","-2","2","2","-3","-2","-2","2","3","-2","2","2","-2","-1","1","3","1","-3","3","3","2","-3","3","2","3","-3","2","-3","-3","-3","1","3","-1","439.81"
"8","MALE","","1994","YESTR","MONOL","","","","Y","","","","","","BA","","","Y","","","","","","3","-3","2","-3","1","3","-3","3","3","1","-3","3","3","3","-3","3","3","-3","-3","-3","1","-3","-3","3","-3","-3","-3","-3","3","1","-3","3","3","3","-3","1","2","3","-3","3","1","3","-3","3","3","1","886.09"
"9","FEMAL","","1996","YESTR","BIL3","","","","","","Y","","","","BA","","","Y","","","","","","3","-3","3","1","3","3","-3","1","2","1","-3","-1","2","3","-2","3","3","-2","-2","-3","2","3","-2","3","-2","-2","-3","2","3","2","-3","3","2","1","-2","-1","1","3","-3","1","-2","2","-1","3","3","-1","574.62"
"10","FEMAL","","1998","YESTR","BIL1","","Y","","","","","","","Orta derecede ingilizce biliyorum","BA","","","Y","","","","","","3","-3","3","-2","2","3","-2","1","1","-1","-3","0","2","2","-3","3","1","-2","-2","-1","2","1","-2","2","-1","-2","-3","2","3","1","-3","2","3","1","-2","1","3","2","-3","3","-2","-1","-3","1","2","-1","796.77"
"12","FEMAL","","2000","YESTR","BIL1","","","","","","","Y","","","BA","","","Y","","","","","","2","-3","2","-2","0","-1","-3","1","2","-3","-3","-2","1","1","-2","1","-2","-3","-2","-3","1","2","-2","2","-2","-2","-2","2","2","-2","-2","2","2","1","-3","1","0","2","-3","1","-2","-3","-3","1","2","-3","663.89"
"13","FEMAL","","1974","YESTR","MONOL","","","Y","","","","","","İngilizce 2","BA","","","","Y","","","","","3","0","1","2","2","2","-2","1","3","-2","0","-3","3","1","-3","0","2","-2","-3","-2","2","2","-3","2","-2","-3","-3","0","1","-2","-2","3","-1","1","-2","2","1","1","-2","2","-1","-3","-1","2","3","-2","422.58"
"15","FEMAL","","1971","YESTR","MONOL","","","Y","","","","","","İngilizce-3 Almanca-2","BA","","","Y","","","","","","3","-3","3","-3","2","2","-2","3","2","-3","-3","-3","3","2","-3","1","2","-3","-3","-3","1","2","-3","2","1","-3","-3","2","3","2","-3","3","1","-3","-2","2","2","2","-3","2","-3","-2","-3","-2","2","-3","438.7"
