id,GENDER,AGE,NATIVETR,BILINGUALQ,Region,L2,MAJOR,EDUCATION,EDUCATIONMAJOR[FINEARTS],EDUCATIONMAJOR[SOCIALSCIENCES],EDUCATIONMAJOR[PHYSICALSCIENCES],EDUCATIONMAJOR[HUMANITIES],INSTR1,INSTR2,PRACTICE1,PRACTICE2,PRACTICE3,LCATM1,CTGRAM1,UCATM2,CTUNGRAM1,LCATU3,CTGRAM2,UCATU4,CTUNGRAM2,LCATM5,CTGRAM3,UCATM6,CTUNGRAM3,LCATU7,CTGRAM4,UCATU8,CTUNGRAM4,LCATM9,CTGRAM5,UCATM10,CTUNGRAM5,LCATU11,CTGRAM6,UCATU12,CTUNGRAM6,LCASEM1,CTGRAM7,UCASEM2,CTUNGRAM7,UCASEU3,CTGRAM8,LCASEM5,CTUNGRAM8,UCASEM6,CTGRAM9,UCASEU7,CTUNGRAM9,LCASEM9,CTGRAM10,UCASEM10,CTUNGRAM10,UCASEU11,CTGRAM11,CTUNGRAM11,ctgram_check,ctgram_mean,ctungram_check,ctungram_mean
3,FEMAL,23,YESTR,BIL3,MEDITER,"İngilizce 1
Arapça 2",SS,BA,,Y,,,,,1,-3,1,3,3,3,-2,2,3,-3,-3,2,3,3,2,2,3,-2,-3,3,3,3,-2,3,2,3,-1,3,3,3,-3,-1,3,2,1,3,1,1,-3,3,-1,3,3,3,3,-3,1,2.3636363636363638,0,-1.2727272727272727
5,FEMAL,34,YESTR,BIL1,MARMARA,"rusça-3
inglizce-2",SS,MA,,Y,,,,,3,-3,3,1,-1,2,-3,-1,1,-2,-2,-2,1,1,-2,-1,-1,-2,-3,-2,-3,-1,-3,-1,-3,-3,-3,-2,-1,-3,-2,-3,-1,-2,-2,-2,1,-2,-3,-2,-3,1,-3,-1,-1,-2,0,-1.0,1,-2.5454545454545454
7,-oth-,28,YESTR,MONOL,MARMARA,,SS,BA,,Y,,Y,,,3,-1,3,3,3,3,3,3,3,2,3,3,3,3,-1,3,3,3,-2,3,3,3,-2,3,3,3,2,3,3,3,-1,3,3,3,3,3,3,3,-2,3,-1,3,-2,3,3,-2,1,2.6363636363636362,0,-0.09090909090909091
9,FEMAL,21,YESTR,MONOL,MARMARA,"İngilizce-2
Almanca-1",SS,BA,,Y,,,,,3,-2,2,2,3,1,-3,-3,3,-3,-3,2,3,2,-3,-3,-3,-3,-3,3,2,3,-3,-3,-3,-3,-3,-2,3,2,-3,-3,3,1,-3,2,1,1,-3,2,-3,2,-3,-3,3,-3,0,1.0909090909090908,1,-3.0
10,UNIDE,18,YESTR,MONOL,AEGEAN,,HU,MA,,,,Y,,,3,-3,1,-2,2,3,-1,-1,2,-3,-3,2,3,2,-3,-3,2,-3,-2,2,3,3,-3,-3,-2,-2,-1,-2,3,3,-2,-3,2,1,1,1,3,-2,-3,-2,-2,2,-3,-2,2,-3,1,1.6363636363636365,1,-2.090909090909091
11,FEMAL,26,YESTR,MONOL,MARMARA,İngilizce- 2,SS,MA,,Y,,,,,3,-3,3,2,3,-1,-3,-1,3,-3,-3,2,2,1,-3,-3,3,-3,-2,3,1,1,-3,-2,-3,-1,-3,2,3,3,-3,1,3,1,-3,-1,3,-2,-3,2,-3,1,-3,-1,2,-3,1,1.5454545454545454,1,-2.909090909090909
12,FEMAL,30,YESTR,MONOL,MARMARA,,SS,MA,,Y,,,,,3,-2,3,3,3,2,-3,-1,3,-2,-2,3,3,2,-2,-1,3,-1,-1,3,3,3,-2,-2,1,-1,-1,3,3,3,-2,-2,3,3,-2,1,3,1,-3,3,-3,3,-2,-1,3,-3,1,2.272727272727273,1,-2.090909090909091
13,FEMAL,53,YESTR,MONOL,MARMARA,"İngilizce-2
Almanca-2",PS,BA,,,Y,,,,3,0,3,3,3,2,0,1,3,1,-1,3,3,2,1,1,3,1,1,3,3,2,0,1,2,1,1,2,2,3,0,2,3,2,2,3,2,1,0,2,-1,2,-1,2,3,1,1,2.3636363636363638,0,0.36363636363636365
14,MALE,27,YESTR,MONOL,MARMARA,İngilizce  - 3,SS,MA,,Y,,,,,1,-3,3,3,0,3,-3,-3,3,-3,-3,2,3,3,-3,-3,3,-3,-3,3,3,3,-3,1,2,-3,-3,3,3,3,-3,3,3,3,-3,3,3,-2,-3,3,-3,3,-3,-3,3,-3,1,2.090909090909091,1,-3.0
15,MALE,56,YESTR,MONOL,MARMARA,İngilizce-3,SS,BA,,Y,,,,,0,-2,2,3,3,-1,-3,2,2,-1,-3,1,2,1,0,-2,2,-2,-3,3,2,3,-2,-2,-1,-2,1,3,0,2,-3,-3,2,-3,1,2,-3,-2,-3,1,-3,2,-3,-1,1,-3,0,0.6363636363636364,1,-1.9090909090909092
16,MALE,23,YESTR,MONOL,MARMARA,"İngilizce - 2
",FA,BA,Y,,,,,,3,-3,3,3,2,3,-2,-2,3,1,-2,2,1,2,-2,-1,2,-1,-1,3,3,2,-2,-1,1,-2,-1,2,3,2,-3,-1,3,1,-2,1,1,1,-2,2,-1,2,-3,0,3,-2,1,1.9090909090909092,1,-2.0
17,FEMAL,17,YESTR,MONOL,MARMARA,İngilizce-2,PS,LYC,,,Y,,,,1,-3,3,3,3,2,-3,1,3,0,-2,3,1,1,-2,1,3,1,-1,3,3,2,-1,-3,-1,1,-3,3,3,3,-2,1,3,-3,2,1,1,1,-2,3,3,1,-3,1,3,-3,1,2.272727272727273,1,-1.8181818181818181
18,MALE,54,YESTR,MONOL,MARMARA,"Orta derecede Ingilizce ve Fransızca 
İngilizce 2
Fransızca 2",SS,PhD,,Y,,,,,3,-3,3,2,3,2,-2,2,3,-2,-2,2,3,3,-2,-2,3,2,-2,3,2,3,-3,1,2,1,-3,2,3,2,-3,-3,3,1,-2,2,2,1,-3,1,-2,1,0,1,3,-3,1,2.272727272727273,1,-2.272727272727273
19,MALE,23,YESTR,MONOL,MARMARA,İngilizce 2,FA,BA,Y,,,,,,3,-3,3,3,3,3,-3,-3,3,-2,-3,3,3,3,0,-2,0,-3,-2,3,3,3,-2,0,1,-3,-3,1,3,3,-3,-1,3,3,0,2,3,1,-3,3,-3,-1,0,0,3,-3,1,2.0,1,-2.0
20,MALE,24,YESTR,BIL2,MARMARA,İngilizce - 2,FA,MA,Y,,,,,,2,-3,3,2,3,1,-1,-1,3,-1,-2,1,3,3,-3,-1,3,-2,-1,3,3,1,-3,-2,2,-1,0,3,3,1,-3,-1,2,2,0,1,3,0,-2,3,-3,2,-3,-2,3,-3,1,2.272727272727273,1,-1.9090909090909092
