id,GENDER,AGE,NATIVETR,BILINGUALQ,Region,L2,MAJOR,EDUCATION,EDUCATIONMAJOR[FINEARTS],EDUCATIONMAJOR[SOCIALSCIENCES],EDUCATIONMAJOR[PHYSICALSCIENCES],EDUCATIONMAJOR[HUMANITIES],INSTR1,INSTR2,PRACTICE1,PRACTICE2,PRACTICE3,UCATM1,CTGRAM1,LCATU2,CTUNGRAM1,UCATU3,CTGRAM2,LCATM4,CTUNGRAM2,UCATM5,CTGRAM3,LCATU6,CTUNGRAM3,UCATU7,CTGRAM4,LCATM8,CTUNGRAM4,UCATM9,CTGRAM5,LCATU10,CTUNGRAM5,UCATU11,CTGRAM6,LCATM12,CTUNGRAM6,LCASEM2,CTGRAM7,UCASEM3,CTUNGRAM7,UCASEU4,CTGRAM8,LCASEM6,CTUNGRAM8,UCASEM7,CTGRAM9,UCASEU8,CTUNGRAM9,LCASEM10,CTGRAM10,UCASEM11,CTUNGRAM10,UCASEU12,CTGRAM11,CTUNGRAM11,interviewtime,ctgram_check,ctgram_mean,ctungram_check,ctungram_mean
1,FEMAL,34,YESTR,MONOL,MEDITER,Az İngilizce biliyorum ,SS,BA,,Y,,,,,1,-2,2,-1,1,-2,-1,-1,1,-1,-2,-1,2,1,0,-1,-1,2,-2,1,2,-2,-2,-2,-2,-2,-2,0,2,-1,-2,1,2,2,-2,-1,2,-2,-1,2,-1,1,-2,1,2,-2,781.47,0,0.9090909090909091,1,-1.6363636363636365
3,MALE,26,YESTR,MONOL,MARMARA,"ingilizce 3
Almanca 1",SS,BA,,Y,,,,,3,-3,3,2,3,3,1,2,3,3,1,3,3,2,-1,2,3,3,1,3,3,3,3,2,3,3,2,3,3,3,1,3,3,3,3,3,3,2,-3,3,3,3,1,2,3,2,770.45,1,3.0,0,1.0
4,FEMAL,25,YESTR,MONOL,MARMARA,İngilizce - 2,SS,BA,,Y,,,,,3,-2,3,1,-2,2,-2,1,3,3,-2,3,3,1,-3,1,3,3,-3,2,3,2,-2,-1,2,3,-1,3,3,3,1,-2,3,3,3,3,3,-2,-3,3,-1,3,-1,-2,3,1,741.95,1,2.090909090909091,0,-1.0909090909090908
5,FEMAL,24,YESTR,MONOL,CENTRALANATOLIA,,SS,BA,,Y,,,,,0,-3,-2,-1,3,-2,-3,-1,-1,3,-2,-1,3,-2,-3,-1,2,3,-2,3,3,-1,-3,-1,-1,3,-2,0,3,-1,-3,-1,-1,3,-2,1,-3,-2,-3,3,1,3,-3,-2,2,-3,1038.69,0,1.0,1,-2.6363636363636362
6,FEMAL,20,YESTR,MONOL,MARMARA,"İngilizce 3
Almanca 1
Arapça 1",SS,BA,,Y,,,,,2,-2,3,1,3,3,-1,-1,3,3,-3,3,3,1,-2,-1,3,3,-1,3,3,3,-2,-1,1,3,-3,3,3,3,-3,3,3,3,3,-1,3,1,-2,3,-2,3,-3,1,3,-1,570.44,1,2.3636363636363638,1,-1.6363636363636365
8,FEMAL,27,YESTR,BIL3,MEDITER,"Orta derece ingilizce iyi düzeyde arapça
İngilizce-2
Arapça-4",SS,BA,,Y,,,,,3,-3,2,3,0,0,-2,0,3,-2,-2,0,3,-1,-1,-2,1,3,-1,3,-2,-1,-1,-3,0,-3,-2,3,1,-1,3,-2,3,-2,-1,-1,0,-2,0,3,-1,0,-2,-1,3,-2,559.4,0,1.0,0,-1.0
9,FEMAL,22,YESTR,MONOL,MARMARA,"Az derecede İngilizce biliyorum.
İngilizce -1",SS,BA,,Y,,,,,3,-3,3,2,3,0,-1,2,3,3,1,3,3,0,-1,1,3,3,1,3,3,-1,-2,2,3,3,2,3,3,3,-2,1,3,3,1,3,3,1,-1,3,2,3,1,2,3,2,727.62,1,2.909090909090909,0,0.09090909090909091
11,-oth-,25,YESTR,MONOL,MEDITER,"İngilizce, almanca-2 ",SS,BA,,Y,,,,,3,-3,3,0,3,-1,-1,0,3,3,-2,-1,3,-1,-2,3,3,3,-1,3,2,3,-1,-1,-1,1,-2,2,3,0,-3,-1,1,3,2,3,3,-1,-3,3,1,1,-3,-1,3,-1,592.89,1,2.1818181818181817,1,-1.5454545454545454
13,FEMAL,21,YESTR,MONOL,MARMARA,,SS,BA,,Y,,,,,2,-3,3,-2,3,-3,-3,-3,3,3,-3,1,3,-3,-3,-3,3,3,-3,1,2,-3,-3,-2,2,2,-3,3,2,-1,-3,-3,3,2,-3,0,3,-3,-3,-2,0,2,-3,-3,0,-3,467.15,1,2.1818181818181817,1,-3.0
14,FEMAL,24,YESTR,MONOL,MARMARA,"Az derecede İngilizce biliyorum.
İngilizce-1",SS,BA,,Y,,,,,3,-3,3,3,3,3,1,2,3,3,1,3,3,1,1,-3,3,3,-3,3,3,3,-3,2,3,3,-3,3,3,3,1,3,3,3,3,3,3,1,-3,3,-3,3,-3,2,3,-1,741.56,1,2.4545454545454546,0,-0.8181818181818182
15,MALE,35,YESTR,MONOL,BLACKSEA,,SS,BA,,Y,Y,,,,3,-3,2,-1,2,1,-2,1,3,2,-1,0,3,1,-3,0,3,3,-1,2,3,1,-2,-1,3,3,-2,3,3,2,1,2,3,2,-2,3,1,2,-3,3,-1,3,-3,1,3,-2,1317.94,1,2.3636363636363638,1,-1.8181818181818181
17,FEMAL,52,YESTR,MONOL,MARMARA,"İngilizce -3
Fransızca - 1",PS,PhD,,,Y,,,,1,-3,3,1,3,-2,-1,0,3,3,-3,2,2,0,-3,1,0,3,-3,2,2,0,-3,0,-2,1,-2,2,3,0,-1,0,3,3,1,2,2,2,-3,3,-3,2,-3,-1,3,0,1002.89,0,1.4545454545454546,1,-1.9090909090909092
18,MALE,24,YESTR,MONOL,MARMARA,"Orta derecede ingilizce biliyorum. 
İngilizce - 2",FA,BA,Y,,,,,,2,-3,3,1,3,-2,-3,-1,3,3,-3,3,3,-3,-3,-2,3,3,-3,3,3,-1,-3,3,1,3,-2,3,3,3,-3,-2,3,3,-1,2,3,-3,-3,2,1,3,-1,-2,3,2,1049.08,1,2.6363636363636362,1,-2.090909090909091
19,FEMAL,52,YESTR,MONOL,MARMARA,,SS,BA,,Y,,,,,3,-3,3,-3,3,-3,-3,-3,3,3,-3,3,3,-3,-3,-3,3,3,-3,3,3,-3,-3,-3,3,3,-3,3,3,3,-3,-3,3,3,-3,3,-2,-3,-3,3,3,3,-3,-3,3,-3,1319.36,1,2.5454545454545454,1,-3.0
20,MALE,48,YESTR,MONOL,EASTANATOLIA,,SS,BA,,Y,,,,,3,1,3,2,3,-2,-3,1,3,3,-3,2,3,1,2,-1,3,3,-3,3,3,1,-2,1,1,1,-2,3,-3,2,-1,-1,3,3,-1,2,1,-1,1,3,-3,3,-3,1,3,-3,836.36,1,1.5454545454545454,1,-1.6363636363636365
21,MALE,42,YESTR,BIL1,THRACE,İyi derece Bulgarca orta derece Rusça biliyorum   Bulgarca-3 Rusça-2,HU,LYC,,,,Y,,,3,-2,2,1,0,-1,-2,-2,3,3,-1,3,3,-1,-1,-1,3,3,-1,3,2,-1,-1,-1,1,0,-1,3,3,3,-1,-2,3,3,-1,1,1,-1,-1,0,-1,1,1,-1,3,1,2084.11,1,1.9090909090909092,0,-0.7272727272727273
