id,GENDER,AGE,NATIVETR,BILINGUALQ,Region,L2,MAJOR,EDUCATION,EDUCATIONMAJOR[FINEARTS],EDUCATIONMAJOR[SOCIALSCIENCES],EDUCATIONMAJOR[PHYSICALSCIENCES],EDUCATIONMAJOR[HUMANITIES],INSTR1,INSTR2,PRACTICE1,PRACTICE2,PRACTICE3,LCATU1,CTGRAM1,UCATU2,CTUNGRAM1,LCATM3,CTGRAM2,UCATM4,CTUNGRAM2,LCATU5,CTGRAM3,UCATU6,CTUNGRAM3,LCATM7,CTGRAM4,UCATM8,CTUNGRAM4,LCATU9,CTGRAM5,UCATU10,CTUNGRAM5,LCATM11,CTGRAM6,UCATM12,CTUNGRAM6,UCASEU1,CTGRAM7,LCASEM3,CTUNGRAM7,UCASEM4,CTGRAM8,UCASEU5,CTUNGRAM8,LCASEM7,CTGRAM9,UCASEM8,CTUNGRAM9,UCASEU9,CTGRAM10,LCASEM11,CTUNGRAM10,UCASEM12,CTGRAM11,CTUNGRAM11,interviewtime,ctgram_check,ctgram_mean,ctungram_check,ctungram_mean
3,FEMAL,22,YESTR,MONOL,MEDITER,Ingilizce - 3 ,SS,BA,,Y,,,,,-3,-3,3,-3,3,-3,-3,2,3,2,-3,-3,3,-3,-3,3,3,3,-3,-3,3,-2,-3,3,3,2,-3,-3,3,3,-2,1,2,-3,-2,3,2,3,-3,2,2,3,-3,3,3,-3,1075.52,1,2.727272727272727,1,-2.8181818181818183
5,FEMAL,20,YESTR,MONOL,MARMARA,ingilizce 2,SS,BA,,Y,,,,,3,-3,2,-3,3,1,-3,3,3,2,-2,-2,3,3,-3,3,1,-1,-2,-2,3,3,-3,1,1,-3,-2,-3,3,3,0,2,3,-3,-3,3,3,0,-2,1,-3,3,-3,-3,3,-3,518.17,1,2.090909090909091,1,-2.3636363636363638
6,FEMAL,29,YESTR,MONOL,MARMARA,İngilizce 2,SS,BA,,Y,,,,,3,0,3,2,3,3,1,3,3,3,3,1,3,3,1,1,3,3,2,2,3,3,1,3,3,3,1,2,3,3,2,3,3,3,3,3,3,2,1,3,0,3,0,1,3,0,563.92,1,2.727272727272727,0,1.3636363636363635
7,FEMAL,34,YESTR,MONOL,MARMARA,,SS,BA,,Y,,,,,3,-3,-1,-3,3,-3,-3,3,3,3,-3,-3,3,-3,-3,3,3,-1,-3,3,3,-3,-3,3,-3,-3,-3,-3,3,3,-3,-3,-1,-3,-3,-3,-3,-3,-3,3,-3,3,-3,-3,3,-3,437.13,0,1.0,1,-3.0
8,FEMAL,40,YESTR,MONOL,MARMARA,,SS,MA,,Y,,,,,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,567.42,0,-3.0,1,-3.0
10,FEMAL,23,YESTR,MONOL,AEGEAN,,SS,BA,,Y,,Y,,,3,-1,3,2,3,3,3,3,3,3,1,1,3,3,3,3,3,3,2,0,3,3,-1,3,1,3,-1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,-1,452.92,1,2.8181818181818183,0,1.4545454545454546
12,FEMAL,23,YESTR,BIL1,MARMARA,İngilizce -2    Bulgarca-2,SS,BA,,Y,,,,,3,-3,-3,-3,-3,0,-3,3,3,1,-3,0,-3,3,3,3,3,3,0,-3,3,1,-3,0,-3,-3,0,3,-3,0,3,1,-2,-3,-2,0,-3,0,-3,0,0,0,3,0,3,1,402.6,0,-0.45454545454545453,0,-0.36363636363636365
15,FEMAL,27,YESTR,MONOL,AEGEAN,İngilizce 2,SS,MA,,Y,,,,,0,-1,3,3,3,3,3,3,3,3,0,3,3,3,2,3,3,3,0,3,3,3,2,3,3,1,-1,2,3,3,-1,3,3,0,3,3,3,3,0,3,-1,3,-1,3,3,1,682.36,1,2.6363636363636362,0,0.7272727272727273
17,FEMAL,28,YESTR,MONOL,MARMARA,,SS,BA,,Y,,,,,0,-3,1,1,3,3,-2,0,2,2,-2,2,3,2,-2,1,3,3,-2,3,3,3,-2,3,-1,-2,-1,-1,2,2,-1,3,2,2,3,-1,2,-2,-2,3,2,3,0,3,3,-2,346.95,1,2.1818181818181817,0,-1.1818181818181819
18,FEMAL,23,YESTR,MONOL,BLACKSEA,İngilizce 2,SS,BA,,Y,,,,,0,0,3,3,-2,-1,-2,3,3,3,-1,0,3,3,-3,3,3,2,-3,-1,3,-2,-2,3,1,0,-2,-2,3,3,-2,-1,3,-2,-1,3,3,3,-1,3,0,3,-2,-2,3,-3,594.95,1,2.090909090909091,1,-2.0
