id,GENDER,AGE,NATIVETR,BILINGUALQ,Region,L2,MAJOR,EDUCATION,EDUCATIONMAJOR[FINEARTS],EDUCATIONMAJOR[SOCIALSCIENCES],EDUCATIONMAJOR[PHYSICALSCIENCES],EDUCATIONMAJOR[HUMANITIES],INSTR1,INSTR2,PRACTICE1,PRACTICE2,PRACTICE3,UCATU1,CTGRAM1,LCATM2,CTUNGRAM1,UCATM3,CTGRAM2,LCATU4,CTUNGRAM2,UCATU5,CTGRAM3,LCATM6,CTUNGRAM3,UCATM7,CTGRAM4,LCATU8,CTUNGRAM4,UCATU9,CTGRAM5,LCATM10,CTUNGRAM5,UCATM11,CTGRAM6,LCATU12,CTUNGRAM6,UCASEM1,CTGRAM7,UCASEU2,CTUNGRAM7,LCASEM4,CTGRAM8,UCASEM5,CTUNGRAM8,UCASEU6,CTGRAM9,LCASEM8,CTUNGRAM9,UCASEM9,CTGRAM10,UCASEU10,CTUNGRAM10,LCASEM12,CTGRAM11,CTUNGRAM11,interviewtime,ctgram_check,ctgram_mean,ctungram_check,ctungram_mean
1,FEMAL,23,YESTR,MONOL,MARMARA,İngilizce- 2,SS,BA,,Y,,,,,3,-3,2,-1,3,3,-2,3,3,-1,-2,-1,3,3,-3,2,3,-2,-2,-1,3,3,-3,3,1,-2,-1,2,3,3,-1,3,3,3,1,3,2,3,-2,3,2,-1,-1,3,2,1,1009.04,1,2.5454545454545454,0,-1.3636363636363635
2,FEMAL,27,YESTR,BIL1,MARMARA,"Zazaca 2
İngilizce 1",SS,MA,,Y,,,,,3,-3,3,-1,3,3,-3,3,3,1,-3,1,3,3,-2,2,3,-1,-3,-1,3,3,-3,3,2,1,-3,3,3,-2,-3,3,2,3,1,3,2,3,-3,3,-3,1,-3,3,3,2,791.09,1,2.1818181818181817,1,-2.090909090909091
3,FEMAL,24,YESTR,MONOL,MARMARA,,SS,MA,,Y,,,,,3,-3,3,2,3,1,-3,3,3,-3,-3,1,3,2,-3,3,3,1,-3,3,3,3,3,3,-3,2,-3,3,3,-2,-3,3,3,2,-3,3,3,3,-3,3,1,1,-3,3,3,-3,686.35,1,2.272727272727273,1,-2.4545454545454546
5,FEMAL,20,YESTR,MONOL,MARMARA,İngilizce 2,SS,BA,,Y,,,,,1,0,2,2,-3,3,0,-1,2,0,2,2,0,-1,0,-1,3,-2,2,0,1,2,0,0,2,1,-1,2,3,3,2,1,3,2,3,0,2,-1,0,0,2,-1,3,2,3,3,455.27,1,1.6363636363636365,0,1.2727272727272727
7,MALE,22,YESTR,MONOL,AEGEAN,ingilizce-2,SS,BA,,Y,,,,,3,-3,3,-2,2,2,-3,1,2,1,-1,-1,3,1,-2,2,2,-3,-2,-2,2,3,-2,2,2,-2,-1,1,3,1,-3,3,3,2,-3,3,2,3,-3,2,-3,-3,-3,1,3,-1,439.81,1,1.9090909090909092,1,-2.1818181818181817
8,MALE,29,YESTR,MONOL,AEGEAN,,SS,BA,,Y,,,,,3,-3,2,-3,1,3,-3,3,3,1,-3,3,3,3,-3,3,3,-3,-3,-3,1,-3,-3,3,-3,-3,-3,-3,3,1,-3,3,3,3,-3,1,2,3,-3,3,1,3,-3,3,3,1,886.09,1,1.8181818181818181,1,-2.6363636363636362
9,FEMAL,27,YESTR,BIL3,CENTRALANATOLIA,,SS,BA,,Y,,,,,3,-3,3,1,3,3,-3,1,2,1,-3,-1,2,3,-2,3,3,-2,-2,-3,2,3,-2,3,-2,-2,-3,2,3,2,-3,3,2,1,-2,-1,1,3,-3,1,-2,2,-1,3,3,-1,574.62,1,1.5454545454545454,1,-2.272727272727273
10,FEMAL,25,YESTR,BIL1,MEDITER,Orta derecede ingilizce biliyorum,SS,BA,,Y,,,,,3,-3,3,-2,2,3,-2,1,1,-1,-3,0,2,2,-3,3,1,-2,-2,-1,2,1,-2,2,-1,-2,-3,2,3,1,-3,2,3,1,-2,1,3,2,-3,3,-2,-1,-3,1,2,-1,796.77,0,1.4545454545454546,1,-2.4545454545454546
12,FEMAL,23,YESTR,BIL1,EASTANATOLIA,,SS,BA,,Y,,,,,2,-3,2,-2,0,-1,-3,1,2,-3,-3,-2,1,1,-2,1,-2,-3,-2,-3,1,2,-2,2,-2,-2,-2,2,2,-2,-2,2,2,1,-3,1,0,2,-3,1,-2,-3,-3,1,2,-3,663.89,0,0.36363636363636365,1,-2.5454545454545454
13,FEMAL,49,YESTR,MONOL,MARMARA,İngilizce 2,PS,BA,,,Y,,,,3,0,1,2,2,2,-2,1,3,-2,0,-3,3,1,-3,0,2,-2,-3,-2,2,2,-3,2,-2,-3,-3,0,1,-2,-2,3,-1,1,-2,2,1,1,-2,2,-1,-3,-1,2,3,-2,422.58,0,1.1818181818181819,1,-2.090909090909091
15,FEMAL,52,YESTR,MONOL,MARMARA,İngilizce-3 Almanca-2,SS,BA,,Y,,,,,3,-3,3,-3,2,2,-2,3,2,-3,-3,-3,3,2,-3,1,2,-3,-3,-3,1,2,-3,2,1,-3,-3,2,3,2,-3,3,1,-3,-2,2,2,2,-3,2,-3,-2,-3,-2,2,-3,438.7,0,1.4545454545454546,1,-2.8181818181818183
17,MALE,22,YESTR,MONOL,MARMARA,"Orta derecede İngilizce biliyorum.
İngilizce - 2.4",SS,MA,,Y,,,,,1,-3,1,-3,1,0,-2,-1,1,-2,-2,0,1,1,-2,1,0,-1,0,1,-1,1,-2,1,-2,-2,-2,-3,0,0,-3,0,0,-1,-3,1,1,1,-2,1,-1,-1,-2,0,0,-2,384.85,0,0.0,1,-2.0
18,MALE,20,YESTR,MONOL,MARMARA,İngilizce - 2,SS,BA,,Y,,,,,3,1,3,0,3,3,-1,3,3,1,-1,1,3,3,-1,2,3,2,1,1,3,3,0,3,3,1,-1,2,3,2,-1,3,3,2,2,2,3,3,-2,3,3,0,1,3,3,1,767.49,1,3.0,0,-0.18181818181818182
19,FEMAL,21,YESTR,MONOL,MARMARA,"Almanca-2 
İngilizce-1",HU,BA,,,,Y,,,-2,-3,2,-3,3,3,-3,3,3,-3,-3,-3,3,3,-3,2,3,-3,-3,-3,3,2,-3,3,1,-3,-3,1,3,-2,-3,3,3,2,1,3,1,3,-3,3,1,-3,-3,3,3,-3,1353.68,1,2.4545454545454546,1,-2.6363636363636362
20,MALE,18,YESTR,MONOL,MARMARA,"İngilizce 2
Almanca 0-1",HU,PRIMA,,,,Y,,,1,-2,3,-1,3,3,-1,3,3,1,-1,1,3,3,-1,3,3,0,1,1,3,2,0,3,3,1,1,2,3,1,0,3,3,3,1,3,3,3,-2,2,1,2,-3,3,3,-1,997.18,1,2.8181818181818183,0,-0.5454545454545454
21,FEMAL,42,YESTR,MONOL,EASTANATOLIA,Orta derecede İngilizce biliyorum. ,FA,BA,Y,,,,,,3,-3,3,-2,3,3,-3,3,3,-2,-2,-1,3,3,-3,3,3,-2,-3,-1,3,3,-3,3,3,-1,-2,3,3,3,-2,3,3,3,-1,3,3,3,-3,3,-2,-2,-2,-1,3,3,658.09,1,2.5454545454545454,1,-1.9090909090909092
22,FEMAL,25,YESTR,MONOL,CENTRALANATOLIA,,SS,MA,,Y,,,,,3,-3,3,-3,3,3,-3,3,3,2,-3,1,3,3,-3,3,3,1,-3,1,3,3,-3,3,3,1,-2,3,3,1,-3,3,3,3,1,3,3,3,-3,3,3,-3,-3,3,3,1,573.61,1,3.0,1,-2.1818181818181817
